source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[condition]
Sample_A_rep1	Homo sapiens	cell culture	not available	1	run 1	proteomic profiling by mass spectrometry	1	wJD803.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/wJD803.raw	1	MTRAQ0	NT=Q Exactive;AC=MS:1001911	data-independent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	5 ppm	10 ppm	Sample_A
Sample_B_rep1	Homo sapiens	cell culture	not available	1	run 1	proteomic profiling by mass spectrometry	1	wJD803.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/wJD803.raw	1	MTRAQ4	NT=Q Exactive;AC=MS:1001911	data-independent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	5 ppm	10 ppm	Sample_B
Sample_C_rep1	Homo sapiens	cell culture	not available	1	run 1	proteomic profiling by mass spectrometry	1	wJD803.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/wJD803.raw	1	MTRAQ8	NT=Q Exactive;AC=MS:1001911	data-independent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	5 ppm	10 ppm	Sample_C
Sample_A_rep2	Homo sapiens	cell culture	not available	1	run 2	proteomic profiling by mass spectrometry	2	wJD804.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/wJD804.raw	1	MTRAQ0	NT=Q Exactive;AC=MS:1001911	data-independent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	5 ppm	10 ppm	Sample_A
Sample_B_rep2	Homo sapiens	cell culture	not available	1	run 2	proteomic profiling by mass spectrometry	2	wJD804.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/wJD804.raw	1	MTRAQ4	NT=Q Exactive;AC=MS:1001911	data-independent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	5 ppm	10 ppm	Sample_B
Sample_C_rep2	Homo sapiens	cell culture	not available	1	run 2	proteomic profiling by mass spectrometry	2	wJD804.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/wJD804.raw	1	MTRAQ8	NT=Q Exactive;AC=MS:1001911	data-independent acquisition	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	5 ppm	10 ppm	Sample_C
